YEAR,FEMALE % X ,MALE CANDIDATES,MALE % DIV1 ,MALE % DIV2,MALE % DIV3,MALE % DIV4 ,MALE % DIV7,MALE % DIV9,MALE % X
2014,0.0,116,49.1,37.1,13.8,0.0,0.0,0.0,0.0
2014,0.0,20,75.0,20.0,5.0,0.0,0.0,0.0,0.0
2014,0.0,41,63.4,36.6,0.0,0.0,0.0,0.0,0.0
2014,0.0,46,60.9,30.4,6.5,0.0,0.0,0.0,2.2
2014,0.0,141,47.5,40.4,10.6,1.4,0.0,0.0,0.0
2014,0.0,306,49.0,39.2,10.8,0.7,0.0,0.0,0.3
2014,0.0,112,47.3,45.5,7.1,0.0,0.0,0.0,0.0
2014,0.0,43,46.5,46.5,7.0,0.0,0.0,0.0,0.0
2014,0.0,86,57.0,39.5,3.5,0.0,0.0,0.0,0.0
2014,0.0,133,52.6,32.3,15.0,0.0,0.0,0.0,0.0
2014,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,53,45.3,47.2,7.5,0.0,0.0,0.0,0.0
2014,0.0,53,56.6,30.2,11.3,1.9,0.0,0.0,0.0
2014,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,74,50.0,35.1,12.2,2.7,0.0,0.0,0.0
2014,0.0,39,53.8,20.5,17.9,5.1,0.0,0.0,2.6
2014,0.0,48,43.8,45.8,10.4,0.0,0.0,0.0,0.0
2014,0.0,103,43.7,32.0,22.3,1.9,0.0,0.0,0.0
2014,0.0,22,45.5,36.4,13.6,4.5,0.0,0.0,0.0
2014,0.0,136,42.6,46.3,10.3,0.7,0.0,0.0,0.0
2014,0.0,33,42.4,54.5,3.0,0.0,0.0,0.0,0.0
2014,0.0,110,48.2,50.9,0.9,0.0,0.0,0.0,0.0
2014,0.0,37,37.8,62.2,0.0,0.0,0.0,0.0,0.0
2014,1.3,174,47.1,40.2,10.9,1.7,0.0,0.0,0.0
2014,0.0,129,47.3,42.6,8.5,1.6,0.0,0.0,0.0
2014,0.0,95,57.9,28.4,9.5,2.1,0.0,0.0,2.1
2014,0.0,55,40.0,49.1,10.9,0.0,0.0,0.0,0.0
2014,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,251,39.4,45.0,13.5,2.0,0.0,0.0,0.0
2014,0.0,140,39.3,59.3,1.4,0.0,0.0,0.0,0.0
2014,0.0,81,54.3,37.0,8.6,0.0,0.0,0.0,0.0
2014,0.0,65,40.0,53.8,4.6,1.5,0.0,0.0,0.0
2014,0.0,48,45.8,52.1,2.1,0.0,0.0,0.0,0.0
2014,0.0,45,55.6,33.3,11.1,0.0,0.0,0.0,0.0
2014,0.0,87,40.2,43.7,12.6,3.4,0.0,0.0,0.0
2014,0.0,7,42.9,57.1,0.0,0.0,0.0,0.0,0.0
2014,0.0,172,41.9,46.5,11.6,0.0,0.0,0.0,0.0
2014,0.0,39,35.9,33.3,28.2,2.6,0.0,0.0,0.0
2014,0.0,57,31.6,54.4,14.0,0.0,0.0,0.0,0.0
2014,0.0,193,45.1,22.3,20.2,11.4,0.0,1.0,0.0
2014,0.0,99,47.5,40.4,11.1,1.0,0.0,0.0,0.0
2014,0.0,135,40.0,48.1,11.1,0.7,0.0,0.0,0.0
2014,3.3,29,48.3,31.0,17.2,3.4,0.0,0.0,0.0
2014,0.0,20,35.0,50.0,15.0,0.0,0.0,0.0,0.0
2014,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,67,34.3,52.2,11.9,1.5,0.0,0.0,0.0
2014,0.0,41,43.9,31.7,19.5,4.9,0.0,0.0,0.0
2014,0.0,46,37.0,30.4,26.1,6.5,0.0,0.0,0.0
2014,1.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,11,45.5,36.4,18.2,0.0,0.0,0.0,0.0
2014,0.0,57,33.3,52.6,8.8,5.3,0.0,0.0,0.0
2014,0.0,54,37.0,46.3,13.0,3.7,0.0,0.0,0.0
2014,0.0,113,37.2,50.4,12.4,0.0,0.0,0.0,0.0
2014,1.4,65,35.4,50.8,12.3,0.0,1.5,0.0,0.0
2014,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,34,32.4,38.2,20.6,8.8,0.0,0.0,0.0
2014,0.4,224,36.6,43.3,17.4,2.7,0.0,0.0,0.0
2014,0.0,58,43.1,25.9,22.4,8.6,0.0,0.0,0.0
2014,0.0,7,42.9,57.1,0.0,0.0,0.0,0.0,0.0
2014,0.0,20,40.0,35.0,25.0,0.0,0.0,0.0,0.0
2014,4.0,49,34.7,53.1,12.2,0.0,0.0,0.0,0.0
2014,0.0,80,32.5,33.8,23.8,8.8,0.0,0.0,1.3
2014,0.0,46,45.7,45.7,8.7,0.0,0.0,0.0,0.0
2014,5.9,54,27.8,44.4,22.2,5.6,0.0,0.0,0.0
2014,1.7,75,30.7,49.3,12.0,6.7,1.3,0.0,0.0
2014,2.1,33,33.3,30.3,24.2,9.1,0.0,0.0,3.0
2014,0.0,197,29.9,46.2,14.2,9.6,0.0,0.0,0.0
2014,0.0,91,37.4,45.1,12.1,5.5,0.0,0.0,0.0
2014,0.0,148,29.7,42.6,20.3,7.4,0.0,0.0,0.0
2014,0.0,33,42.4,27.3,15.2,15.2,0.0,0.0,0.0
2014,0.0,41,36.6,56.1,7.3,0.0,0.0,0.0,0.0
2014,0.0,67,37.3,35.8,23.9,3.0,0.0,0.0,0.0
2014,0.0,69,34.8,47.8,14.5,1.4,0.0,0.0,1.4
2014,0.0,94,34.0,37.2,21.3,7.4,0.0,0.0,0.0
2014,0.0,121,34.7,39.7,17.4,8.3,0.0,0.0,0.0
2014,0.0,27,25.9,59.3,7.4,3.7,3.7,0.0,0.0
2014,0.0,34,35.3,52.9,11.8,0.0,0.0,0.0,0.0
2014,2.9,35,37.1,40.0,20.0,2.9,0.0,0.0,0.0
2014,0.0,51,29.4,43.1,25.5,2.0,0.0,0.0,0.0
2014,0.0,35,34.3,20.0,22.9,22.9,0.0,0.0,0.0
2014,0.0,45,26.7,37.8,20.0,15.6,0.0,0.0,0.0
2014,0.0,115,27.8,48.7,20.0,3.5,0.0,0.0,0.0
2014,0.0,82,39.0,31.7,22.0,6.1,1.2,0.0,0.0
2014,0.0,10,30.0,50.0,20.0,0.0,0.0,0.0,0.0
2014,2.8,37,43.2,29.7,18.9,8.1,0.0,0.0,0.0
2014,0.0,49,44.9,26.5,12.2,16.3,0.0,0.0,0.0
2014,4.2,31,32.3,32.3,12.9,22.6,0.0,0.0,0.0
2014,0.0,103,34.0,51.5,9.7,3.9,0.0,0.0,1.0
2014,0.0,14,57.1,21.4,14.3,7.1,0.0,0.0,0.0
2014,0.0,42,35.7,59.5,4.8,0.0,0.0,0.0,0.0
2014,1.4,73,35.6,34.2,17.8,12.3,0.0,0.0,0.0
2014,0.9,75,37.3,29.3,14.7,16.0,0.0,0.0,2.7
2014,0.0,142,28.9,35.2,19.7,14.8,0.7,0.7,0.0
2014,0.0,62,24.2,35.5,27.4,12.9,0.0,0.0,0.0
2014,0.0,55,27.3,29.1,32.7,7.3,0.0,0.0,3.6
2014,0.0,35,20.0,65.7,11.4,0.0,0.0,0.0,2.9
2014,3.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,70,30.0,55.7,10.0,2.9,0.0,0.0,1.4
2014,0.0,81,32.1,39.5,18.5,9.9,0.0,0.0,0.0
2014,0.0,20,30.0,40.0,10.0,20.0,0.0,0.0,0.0
2014,0.0,58,41.4,29.3,19.0,8.6,0.0,1.7,0.0
2014,0.0,71,28.2,25.4,22.5,22.5,0.0,1.4,0.0
2014,0.0,46,28.3,34.8,19.6,17.4,0.0,0.0,0.0
2014,0.0,94,36.2,48.9,14.9,0.0,0.0,0.0,0.0
2014,0.0,68,32.4,48.5,11.8,7.4,0.0,0.0,0.0
