YEAR,% DIV 9,% X,FEMALE CANDIDATES,FEMALE % DIV1 ,FEMALE % DIV2,FEMALE % DIV3,FEMALE % DIV4,FEMALE % DIV7,FEMALE % DIV9
2014,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,0.0,31,32.3,64.5,3.2,0.0,0.0,0.0
2014,0.0,0.0,143,43.4,45.5,10.5,0.7,0.0,0.0
2014,0.0,1.1,44,34.1,45.5,15.9,4.5,0.0,0.0
2014,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,0.2,185,44.9,44.3,10.8,0.0,0.0,0.0
2014,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,0.0,97,37.1,50.5,12.4,0.0,0.0,0.0
2014,0.0,0.0,132,38.6,38.6,18.2,3.8,0.8,0.0
2014,0.0,0.0,64,45.3,45.3,9.4,0.0,0.0,0.0
2014,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,0.0,47,31.9,51.1,10.6,6.4,0.0,0.0
2014,0.0,0.0,148,44.6,52.7,2.7,0.0,0.0,0.0
2014,0.0,0.0,177,44.1,49.2,5.6,0.6,0.6,0.0
2014,0.0,0.0,70,37.1,37.1,18.6,7.1,0.0,0.0
2014,0.0,1.6,25,28.0,44.0,20.0,8.0,0.0,0.0
2014,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,0.0,8,37.5,37.5,25.0,0.0,0.0,0.0
2014,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,0.0,23,13.0,73.9,13.0,0.0,0.0,0.0
2014,0.0,0.0,13,53.8,46.2,0.0,0.0,0.0,0.0
2014,0.0,0.4,76,27.6,55.3,14.5,1.3,0.0,0.0
2014,0.0,0.0,59,27.1,47.5,23.7,1.7,0.0,0.0
2014,0.0,1.0,99,23.2,52.5,22.2,2.0,0.0,0.0
2014,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,0.0,48,39.6,54.2,4.2,2.1,0.0,0.0
2014,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,0.0,77,22.1,42.9,29.9,5.2,0.0,0.0
2014,0.0,0.0,50,36.0,60.0,4.0,0.0,0.0,0.0
2014,0.0,0.0,54,31.5,59.3,9.3,0.0,0.0,0.0
2014,0.0,0.0,42,19.0,45.2,35.7,0.0,0.0,0.0
2014,0.0,0.0,53,32.1,49.1,17.0,1.9,0.0,0.0
2014,0.0,0.0,20,35.0,55.0,5.0,5.0,0.0,0.0
2014,0.0,0.0,124,29.8,56.5,12.9,0.8,0.0,0.0
2014,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,0.0,35,42.9,22.9,31.4,2.9,0.0,0.0
