YEAR,% DIV 9,% X,FEMALE CANDIDATES,FEMALE % DIV1 ,FEMALE % DIV2,FEMALE % DIV3,FEMALE % DIV4,FEMALE % DIV7,FEMALE % DIV9
2011,0.0,0.0,176,99.4,0.6,0.0,0.0,0.0,0.0
2011,0.0,0.7,0,0.0,0.0,0.0,0.0,0.0,0.0
2011,0.0,0.0,153,98.7,1.3,0.0,0.0,0.0,0.0
2011,0.0,0.0,113,94.7,5.3,0.0,0.0,0.0,0.0
2011,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2011,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2011,0.0,0.5,74,98.6,1.4,0.0,0.0,0.0,0.0
2011,0.0,0.0,25,96.0,4.0,0.0,0.0,0.0,0.0
2011,0.0,0.0,192,95.3,4.7,0.0,0.0,0.0,0.0
2011,0.0,0.2,216,92.1,7.4,0.0,0.0,0.0,0.0
2011,0.0,1.2,0,0.0,0.0,0.0,0.0,0.0,0.0
2011,0.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2011,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2011,0.0,0.0,226,89.8,10.2,0.0,0.0,0.0,0.0
2011,0.0,0.0,192,88.5,10.9,0.0,0.0,0.5,0.0
2011,0.0,0.0,100,83.0,17.0,0.0,0.0,0.0,0.0
2011,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2011,0.0,1.0,88,80.7,18.2,1.1,0.0,0.0,0.0
2011,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2011,0.0,0.0,20,80.0,20.0,0.0,0.0,0.0,0.0
2011,0.0,0.0,202,85.6,12.9,1.5,0.0,0.0,0.0
2011,0.0,0.4,116,78.4,21.6,0.0,0.0,0.0,0.0
2011,0.0,0.0,63,73.0,23.8,3.2,0.0,0.0,0.0
2011,0.0,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0
2011,0.0,0.0,240,84.6,15.4,0.0,0.0,0.0,0.0
2011,0.0,0.4,90,76.7,18.9,3.3,0.0,0.0,0.0
2011,0.0,0.0,20,75.0,25.0,0.0,0.0,0.0,0.0
2011,0.0,0.0,87,79.3,19.5,1.1,0.0,0.0,0.0
2011,0.0,0.8,52,71.2,23.1,3.8,0.0,0.0,0.0
2011,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2011,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2011,0.0,0.0,190,78.4,21.6,0.0,0.0,0.0,0.0
2011,0.0,0.9,0,0.0,0.0,0.0,0.0,0.0,0.0
2011,0.0,0.0,95,70.5,27.4,2.1,0.0,0.0,0.0
2011,0.0,0.0,50,72.0,24.0,4.0,0.0,0.0,0.0
2011,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2011,0.0,0.4,112,66.1,31.3,1.8,0.0,0.0,0.0
2011,0.0,0.5,88,58.0,35.2,5.7,0.0,0.0,0.0
2011,0.0,0.0,38,65.8,34.2,0.0,0.0,0.0,0.0
2011,0.0,0.4,231,68.8,28.6,2.2,0.0,0.0,0.0
2011,0.0,0.7,150,60.0,30.0,8.7,0.0,0.0,0.0
2011,0.0,1.6,23,47.8,52.2,0.0,0.0,0.0,0.0
2011,0.0,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0
2011,0.0,2.4,16,31.3,68.8,0.0,0.0,0.0,0.0
2011,0.0,0.0,15,53.3,33.3,13.3,0.0,0.0,0.0
2011,0.0,0.9,94,58.5,27.7,12.8,0.0,0.0,0.0
2011,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2011,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2011,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2011,0.0,0.9,58,63.8,34.5,0.0,0.0,0.0,0.0
2011,0.0,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0
2011,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2011,0.0,0.7,76,53.9,42.1,2.6,0.0,0.0,0.0
2011,0.0,1.9,0,0.0,0.0,0.0,0.0,0.0,0.0
2011,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2011,0.0,0.0,17,47.1,47.1,5.9,0.0,0.0,0.0
2011,0.5,0.9,99,58.6,27.3,13.1,1.0,0.0,0.0
2011,0.0,14.0,18,50.0,27.8,5.6,0.0,0.0,0.0
2011,0.0,2.7,148,57.4,30.4,8.8,0.7,0.0,0.0
2011,0.0,0.0,60,48.3,41.7,10.0,0.0,0.0,0.0
2011,0.0,1.0,103,50.5,41.7,5.8,1.0,0.0,0.0
2011,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2011,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2011,0.0,1.4,24,33.3,54.2,8.3,0.0,0.0,0.0
2011,1.4,1.4,25,36.0,44.0,12.0,4.0,0.0,4.0
2011,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2011,0.0,1.1,15,40.0,40.0,6.7,6.7,0.0,0.0
2011,0.0,0.0,43,39.5,44.2,16.3,0.0,0.0,0.0
2011,0.0,0.0,55,41.8,45.5,12.7,0.0,0.0,0.0
2011,0.0,0.4,0,0.0,0.0,0.0,0.0,0.0,0.0
2011,0.0,0.0,68,30.9,54.4,8.8,5.9,0.0,0.0
2011,0.0,0.0,56,35.7,50.0,14.3,0.0,0.0,0.0
2011,0.0,0.0,98,46.9,45.9,7.1,0.0,0.0,0.0
2011,0.0,1.3,66,28.8,51.5,18.2,1.5,0.0,0.0
2011,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2011,0.0,0.3,137,41.6,54.0,4.4,0.0,0.0,0.0
2011,0.0,0.0,3,0.0,100.0,0.0,0.0,0.0,0.0
2011,0.0,0.0,135,46.7,48.9,4.4,0.0,0.0,0.0
2011,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2011,0.0,0.9,234,46.2,47.0,6.0,0.0,0.0,0.0
2011,0.0,0.0,70,32.9,50.0,12.9,4.3,0.0,0.0
2011,0.0,4.2,14,42.9,42.9,14.3,0.0,0.0,0.0
