YEAR,FEMALE % X ,MALE CANDIDATES,MALE % DIV1 ,MALE % DIV2,MALE % DIV3,MALE % DIV4 ,MALE % DIV7,MALE % DIV9,MALE % X
2011,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,0.0,151,99.3,0.0,0.0,0.0,0.0,0.0,0.7
2011,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,0.0,109,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,0.0,73,97.3,2.7,0.0,0.0,0.0,0.0,0.0
2011,0.0,164,97.0,3.0,0.0,0.0,0.0,0.0,0.0
2011,0.0,144,95.1,4.2,0.0,0.0,0.0,0.0,0.7
2011,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,0.5,224,96.9,2.7,0.0,0.0,0.4,0.0,0.0
2011,0.0,248,94.4,4.4,0.0,0.0,0.0,0.0,1.2
2011,0.0,202,94.1,1.5,0.5,0.0,0.0,0.0,4.0
2011,0.0,51,90.2,9.8,0.0,0.0,0.0,0.0,0.0
2011,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,0.0,122,91.8,7.4,0.8,0.0,0.0,0.0,0.0
2011,0.0,49,87.8,12.2,0.0,0.0,0.0,0.0,0.0
2011,0.0,115,93.0,5.2,0.0,0.0,0.0,0.0,1.7
2011,0.0,15,86.7,13.3,0.0,0.0,0.0,0.0,0.0
2011,0.0,16,93.8,6.3,0.0,0.0,0.0,0.0,0.0
2011,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,0.0,119,92.4,6.7,0.0,0.0,0.0,0.0,0.8
2011,0.0,86,94.2,5.8,0.0,0.0,0.0,0.0,0.0
2011,0.0,206,85.0,14.1,0.5,0.0,0.0,0.0,0.5
2011,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,1.1,172,87.2,10.5,1.2,1.2,0.0,0.0,0.0
2011,0.0,32,87.5,12.5,0.0,0.0,0.0,0.0,0.0
2011,0.0,106,84.9,15.1,0.0,0.0,0.0,0.0,0.0
2011,1.9,69,89.9,10.1,0.0,0.0,0.0,0.0,0.0
2011,0.0,39,79.5,20.5,0.0,0.0,0.0,0.0,0.0
2011,0.0,65,78.5,20.0,1.5,0.0,0.0,0.0,0.0
2011,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,0.0,115,73.0,25.2,0.9,0.0,0.0,0.0,0.9
2011,0.0,145,74.5,22.8,2.8,0.0,0.0,0.0,0.0
2011,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,0.0,35,71.4,28.6,0.0,0.0,0.0,0.0,0.0
2011,0.9,130,74.6,23.1,2.3,0.0,0.0,0.0,0.0
2011,1.1,110,80.0,18.2,0.9,0.9,0.0,0.0,0.0
2011,0.0,41,73.2,26.8,0.0,0.0,0.0,0.0,0.0
2011,0.4,2,50.0,50.0,0.0,0.0,0.0,0.0,0.0
2011,1.3,157,75.8,22.9,0.6,0.6,0.0,0.0,0.0
2011,0.0,39,79.5,17.9,0.0,0.0,0.0,0.0,2.6
2011,0.0,189,66.1,28.6,4.8,0.0,0.0,0.0,0.5
2011,0.0,25,88.0,8.0,0.0,0.0,0.0,0.0,4.0
2011,0.0,20,75.0,15.0,10.0,0.0,0.0,0.0,0.0
2011,1.1,119,69.7,27.7,1.7,0.0,0.0,0.0,0.8
2011,0.0,102,64.7,30.4,4.9,0.0,0.0,0.0,0.0
2011,0.0,174,63.8,31.0,4.6,0.6,0.0,0.0,0.0
